数据集,下游模型,填补方法,掩码率,填补MSE,填补MAE,下游MSE,下游MAE,种子,日期,是否汇入总表
ETTh1,TimesNet,linear,75.0%,0.6848952091117014,0.402876252672453,0.4805160164833069,0.4515581727027893,2024,2024-09-27  08:52:42,0
ECL,TimesNet,mean,12.5%,0.7720226066082901,0.7333031692860289,0.1739355623722076,0.2767175734043121,2024,2024-09-27  10:46:55,0
ECL,TimesNet,mean,25.0%,0.7721702138089245,0.7333672999965478,0.1732689291238784,0.2775271832942962,2024,2024-09-27  12:41:41,0
ECL,TimesNet,mean,37.5%,0.7721748638967549,0.7333552306113036,0.1717037111520767,0.2765534818172455,2024,2024-09-27  14:23:53,0
ECL,TimesNet,mean,50.0%,0.7721304532533847,0.7333428395090636,0.172517716884613,0.2779469490051269,2024,2024-09-27  16:21:24,0
ECL,TimesNet,mean,62.5%,0.7721552113938775,0.7333450272956991,0.1742771118879318,0.2802920043468475,2024,2024-09-27  18:19:33,0
ECL,TimesNet,mean,75.0%,0.7721752339268323,0.7333524082758411,0.180257648229599,0.2872230112552643,2024,2024-09-27  20:27:51,0
ECL,TimesNet,nearest,12.5%,0.1820658260250683,0.2720867150133441,0.1692084372043609,0.2740989923477173,2024,2024-09-27  23:59:40,0
ECL,TimesNet,nearest,25.0%,0.196438865122958,0.281575451171176,0.1716753095388412,0.2741643786430359,2024,2024-09-28  03:54:19,0
ECL,TimesNet,nearest,37.5%,0.2237322461901244,0.298944013829557,0.1733827888965606,0.2753667831420898,2024,2024-09-28  08:18:55,0
ECL,TimesNet,nearest,50.0%,0.2723433465598532,0.3283168480077885,0.1738917380571365,0.2780696749687195,2024,2024-09-28  12:18:04,0
ECL,TimesNet,nearest,62.5%,0.3618115312564447,0.3788408471375519,0.1810609996318817,0.2851099073886871,2024,2024-09-28  16:42:19,0
ECL,TimesNet,nearest,75.0%,0.5454297025936731,0.4735404901808093,0.1970692276954651,0.3044764399528503,2024,2024-09-28  21:02:52,0
ECL,TimesNet,linear,12.5%,0.0841123884462791,0.1851047622676221,0.16771300137043,0.271975427865982,2024,2024-09-29  00:46:45,0
ECL,TimesNet,linear,25.0%,0.1031345037384803,0.2039355386673293,0.1705516576766967,0.273952841758728,2024,2024-09-29  05:00:59,0
ECL,TimesNet,linear,37.5%,0.1338216893097258,0.2302882236816127,0.1717727929353714,0.2749255299568176,2024,2024-09-29  09:15:38,0
ECL,TimesNet,linear,50.0%,0.190185034034415,0.2703636849056119,0.1755107939243316,0.2788211703300476,2024,2024-09-29  13:01:33,0
ECL,TimesNet,linear,62.5%,0.3150934384476324,0.3383403552800232,0.1943913698196411,0.2928671836853027,2024,2024-09-29  17:13:18,0
ECL,TimesNet,linear,75.0%,0.6666599937847683,0.4713488022177856,0.2773073315620422,0.3468042612075805,2024,2024-09-30  02:24:14,0
Weather,TimesNet,mean,12.5%,0.1067361361389991,0.1676514029182905,0.1762386858463287,0.2250512689352035,2024,2024-09-30  02:49:14,0
Weather,TimesNet,mean,25.0%,0.1065801652462616,0.1675347451669124,0.1792957484722137,0.2263286709785461,2024,2024-09-30  03:16:13,0
Weather,TimesNet,mean,37.5%,0.1062894154959958,0.1674283407000036,0.1784134060144424,0.2261752337217331,2024,2024-09-30  03:49:49,0
Weather,TimesNet,mean,50.0%,0.1067953023493884,0.1674951595179965,0.1894856691360473,0.2352251261472702,2024,2024-09-30  04:27:47,0
Weather,TimesNet,mean,62.5%,0.1066560791062613,0.1674945206364239,0.1796091794967651,0.2280954271554947,2024,2024-09-30  04:55:12,0
Weather,TimesNet,mean,75.0%,0.1067351159365402,0.1675168578255853,0.1813138276338577,0.2302664518356323,2024,2024-09-30  05:21:43,0
